gene,term,description,domain
CHAFR746836.1.1_0009360.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009360.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009360.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009360.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009370.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009370.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009390.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009390.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009400.1,GO:0017111,nucleoside-triphosphatase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009400.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009400.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009430.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009430.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009450.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009450.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009450.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009450.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009450.1,GO:0004435,phosphatidylinositol phospholipase C activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009450.1,GO:0006629,lipid metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009450.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009450.1,GO:0035556,intracellular signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009470.1,GO:0005840,ribosome,CELLULAR_COMPONENT
CHAFR746836.1.1_0009470.1,GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009470.1,GO:0006412,translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009470.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0009490.1,GO:0006535,cysteine biosynthetic process from serine,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009500.1,GO:0000796,condensin complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0009500.1,GO:0007076,mitotic chromosome condensation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009500.1,GO:0005488,binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009530.1,GO:0005669,transcription factor TFIID complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0009530.1,GO:0006352,DNA-dependent transcription, initiation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009540.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009570.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009580.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009580.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009600.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009620.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009620.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009630.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009630.1,GO:0006817,phosphate ion transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009630.1,GO:0005315,inorganic phosphate transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0000160,phosphorelay signal transduction system,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009640.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009640.1,GO:0000156,phosphorelay response regulator activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0004871,signal transducer activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009640.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009640.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009640.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009650.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009650.1,GO:0046873,metal ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009650.1,GO:0030001,metal ion transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009650.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009660.1,GO:0016429,tRNA (adenine-N1-)-methyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009660.1,GO:0031515,tRNA (m1A) methyltransferase complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0009660.1,GO:0030488,tRNA methylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009670.1,GO:0006423,cysteinyl-tRNA aminoacylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009670.1,GO:0004817,cysteine-tRNA ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009670.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009670.1,GO:0006418,tRNA aminoacylation for protein translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009670.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009670.1,GO:0004812,aminoacyl-tRNA ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009690.1,GO:0022891,substrate-specific transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009690.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009690.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009690.1,GO:0022857,transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009690.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009690.1,GO:0005215,transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009690.1,GO:0006810,transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009710.1,GO:0017111,nucleoside-triphosphatase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009710.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009710.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009710.1,GO:0016887,ATPase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009720.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009720.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009730.1,GO:0005488,binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009740.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009770.1,GO:0016884,carbon-nitrogen ligase activity, with glutamine as amido-N-donor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009790.1,GO:0006357,regulation of transcription from RNA polymerase II promoter,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009790.1,GO:0033588,Elongator holoenzyme complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0009800.1,GO:0016616,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009800.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009800.1,GO:0048037,cofactor binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009810.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009810.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009810.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009820.1,GO:0015986,ATP synthesis coupled proton transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009820.1,GO:0000276,mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),CELLULAR_COMPONENT
CHAFR746836.1.1_0009820.1,GO:0015078,hydrogen ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009830.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009830.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009830.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009830.1,GO:0046355,mannan catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009830.1,GO:0004567,beta-mannosidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001030.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0001030.1,GO:0016712,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001030.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001030.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001030.1,GO:0004497,monooxygenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001030.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001040.1,GO:0004563,beta-N-acetylhexosaminidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001040.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001040.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0001040.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001060.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001060.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0001060.1,GO:0004729,oxygen-dependent protoporphyrinogen oxidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001060.1,GO:0006779,porphyrin-containing compound biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0001070.1,GO:0003723,RNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001080.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0001090.1,GO:0016884,carbon-nitrogen ligase activity, with glutamine as amido-N-donor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009850.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009880.1,GO:0042254,ribosome biogenesis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009900.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009910.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009910.1,GO:0042802,identical protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009910.1,GO:0043130,ubiquitin binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009910.1,GO:0030674,protein binding, bridging,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009910.1,GO:0008092,cytoskeletal protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009920.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009920.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009930.1,GO:0007017,microtubule-based process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009930.1,GO:0005874,microtubule,CELLULAR_COMPONENT
CHAFR746836.1.1_0009930.1,GO:0005200,structural constituent of cytoskeleton,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009930.1,GO:0005525,GTP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009930.1,GO:0043234,protein complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0009930.1,GO:0003924,GTPase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009930.1,GO:0006184,GTP catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009930.1,GO:0051258,protein polymerization,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009960.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0009960.1,GO:0006812,cation transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009960.1,GO:0019829,cation-transporting ATPase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009960.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009960.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.1,GO:0045905,positive regulation of translational termination,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.1,GO:0003723,RNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.1,GO:0006452,translational frameshifting,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.1,GO:0003746,translation elongation factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.1,GO:0045901,positive regulation of translational elongation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.1,GO:0043022,ribosome binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.1,GO:0008612,peptidyl-lysine modification to hypusine,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.2,GO:0045905,positive regulation of translational termination,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.2,GO:0006452,translational frameshifting,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.2,GO:0003723,RNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.2,GO:0045901,positive regulation of translational elongation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009970.2,GO:0043022,ribosome binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.2,GO:0003746,translation elongation factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009970.2,GO:0008612,peptidyl-lysine modification to hypusine,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0009980.1,GO:0050525,cutinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009980.1,GO:0005576,extracellular region,CELLULAR_COMPONENT
CHAFR746836.1.1_0009980.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0009980.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010020.1,GO:0015991,ATP hydrolysis coupled proton transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010020.1,GO:0033179,proton-transporting V-type ATPase, V0 domain,CELLULAR_COMPONENT
CHAFR746836.1.1_0010020.1,GO:0015078,hydrogen ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010090.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010090.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010130.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010140.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010140.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010150.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010160.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010160.1,GO:0003743,translation initiation factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010160.1,GO:0005852,eukaryotic translation initiation factor 3 complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0010160.1,GO:0005737,cytoplasm,CELLULAR_COMPONENT
CHAFR746836.1.1_0010180.1,GO:0044262,cellular carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010180.1,GO:0046912,transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010180.1,GO:0004108,citrate (Si)-synthase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010180.1,GO:0006099,tricarboxylic acid cycle,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010200.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010220.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010220.1,GO:0006493,protein O-linked glycosylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010220.1,GO:0000030,mannosyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010220.1,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010230.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010230.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010230.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010230.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010240.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010240.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010250.1,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010270.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010270.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010290.1,GO:0004497,monooxygenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010290.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010290.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010290.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010290.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010300.1,GO:0016712,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010300.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010300.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010300.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010300.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010320.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010320.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010330.1,GO:0008171,O-methyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010370.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010370.1,GO:0016712,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010370.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010370.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010370.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010380.1,GO:0051536,iron-sulfur cluster binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010380.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010380.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010380.1,GO:0010181,FMN binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010400.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010400.2,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010420.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010430.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010430.1,GO:0004820,glycine-tRNA ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010430.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010430.1,GO:0005737,cytoplasm,CELLULAR_COMPONENT
CHAFR746836.1.1_0010430.1,GO:0006426,glycyl-tRNA aminoacylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010430.1,GO:0006418,tRNA aminoacylation for protein translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010430.1,GO:0004812,aminoacyl-tRNA ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010460.1,GO:0006621,protein retention in ER lumen,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010460.1,GO:0046923,ER retention sequence binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010460.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010470.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010470.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010470.1,GO:0016651,oxidoreductase activity, acting on NAD(P)H,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010470.1,GO:0051536,iron-sulfur cluster binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010470.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010470.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010470.1,GO:0042773,ATP synthesis coupled electron transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010470.1,GO:0009055,electron carrier activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010480.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010480.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010480.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010480.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0010500.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010500.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010510.1,GO:0030170,pyridoxal phosphate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010510.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010510.1,GO:0016829,lyase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010510.1,GO:0006520,cellular amino acid metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010520.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0010520.1,GO:0003779,actin binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001100.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0001100.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010540.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0010540.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010540.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010540.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010570.1,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010570.1,GO:0006457,protein folding,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010570.1,GO:0004842,ubiquitin-protein ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010570.1,GO:0000151,ubiquitin ligase complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0010570.1,GO:0016567,protein ubiquitination,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010590.1,GO:0005840,ribosome,CELLULAR_COMPONENT
CHAFR746836.1.1_0010590.1,GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010590.1,GO:0006412,translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010590.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0010630.1,GO:0004134,4-alpha-glucanotransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010630.1,GO:0005980,glycogen catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010630.1,GO:0004135,amylo-alpha-1,6-glucosidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010630.1,GO:0007155,cell adhesion,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010630.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010640.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010640.1,GO:0015087,cobalt ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010640.1,GO:0006824,cobalt ion transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010640.1,GO:0015675,nickel cation transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010640.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0010640.1,GO:0015099,nickel cation transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010640.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0010650.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010650.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0010650.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
